,Title,Worldwide,Budget,MPAA,Domestic Distributor,Domestic Opening,Genres,Year
635,tt2103254,100375432.0,20000000.0,R,Warner Bros.,21577049.0,"Comedy,Romance",4
636,tt3322940,257579282.0,6500000.0,R,Warner Bros.,37134255.0,"Horror,Mystery,Thriller",4
637,tt2203939,196710396.0,40000000.0,PG-13,Twentieth Century Fox,24763752.0,"Comedy,Romance",4
638,tt1800241,251171807.0,40000000.0,R,Sony Pictures Entertainment (SPE),740455.0,"Crime,Drama",4
639,tt1924435,138224951.0,17000000.0,R,Twentieth Century Fox,17813722.0,"Action,Comedy,Crime",4
640,tt2177771,156706638.0,70000000.0,PG-13,Sony Pictures Entertainment (SPE),22003433.0,"Comedy,Drama,History,War",4
641,tt0993846,392000694.0,100000000.0,R,Paramount Pictures,18361578.0,"Biography,Comedy,Crime,Drama",4
642,tt1911658,373515621.0,132000000.0,PG,Twentieth Century Fox,25447444.0,"Adventure,Animation,Comedy,Family,Sci-Fi",4
643,tt1267297,244819862.0,100000000.0,PG-13,Paramount Pictures,29800263.0,"Action,Adventure,Fantasy",4
644,tt2975578,111928365.0,9000000.0,R,Universal Pictures,29816675.0,"Action,Horror,Sci-Fi,Thriller",4
645,tt2692250,363204635.0,127000000.0,PG,Twentieth Century Fox,17100520.0,"Adventure,Comedy,Family,Fantasy",4
646,tt1698641,100654149.0,28000000.0,PG,Walt Disney Studios Motion Pictures,18360230.0,"Comedy,Drama,Family,Fantasy",4
647,tt2239832,70181428.0,24000000.0,PG-13,Screen Gems,29241911.0,"Comedy,Romance",4
648,tt1821658,120885527.0,42000000.0,PG,Open Road Films (II),19423000.0,"Adventure,Animation,Comedy,Crime,Family",4
649,tt2180411,212902372.0,50000000.0,PG,Walt Disney Studios Motion Pictures,31051923.0,"Adventure,Comedy,Drama,Fantasy,Musical",4
650,tt1809398,161459297.0,65000000.0,PG-13,Universal Pictures,30621445.0,"Action,Biography,Drama,Sport,War",4
651,tt2528814,64676349.0,2000000.0,PG,Freestyle Releasing,9217013.0,Drama,4
652,tt3210686,70829270.0,,PG-13,Twentieth Century Fox,25601865.0,"Biography,Drama,History",4
653,tt2980706,146965787.0,50000000.0,PG,Walt Disney Studios Motion Pictures,17509407.0,"Adventure,Animation,Comedy,Family,Sport",4
654,tt2278388,172945750.0,25000000.0,R,Fox Searchlight Pictures,811166.0,"Adventure,Comedy,Crime",4
655,tt1234721,242688965.0,100000000.0,PG-13,Sony Pictures Entertainment (SPE),21681430.0,"Action,Crime,Sci-Fi,Thriller",4
656,tt1823664,136853506.0,65000000.0,PG,Sony Pictures Entertainment (SPE),15861939.0,"Comedy,Drama,Family,Musical",4
657,tt1170358,959007513.0,,PG-13,Warner Bros.,73645197.0,"Adventure,Fantasy",4
658,tt0829150,217124280.0,70000000.0,PG-13,Universal Pictures,23514615.0,"Action,Drama,Fantasy,Horror,War",4
659,tt1528100,268175631.0,140000000.0,PG-13,Twentieth Century Fox,24115934.0,"Action,Adventure,Drama,Fantasy",4
660,tt2980648,89514453.0,22000000.0,PG,Walt Disney Studios Motion Pictures,10979290.0,"Comedy,Drama",4
661,tt2011159,54323210.0,13200000.0,PG-13,Screen Gems,24250283.0,Thriller,4
662,tt2170439,107645357.0,42000000.0,R,Warner Bros.,15457418.0,"Comedy,Crime",4
663,tt2281587,80383113.0,50000000.0,PG,Walt Disney Studios Motion Pictures,17005126.0,"Adventure,Comedy,Crime,Family,Musical,Mystery",4
664,tt1204977,103687316.0,5000000.0,PG-13,Universal Pictures,19875995.0,"Horror,Mystery,Thriller",4
665,tt1205537,135503748.0,60000000.0,PG-13,Paramount Pictures,15451981.0,"Action,Drama,Thriller",4
666,tt0787474,108255770.0,60000000.0,PG,Focus Features,17275239.0,"Adventure,Animation,Comedy,Family,Fantasy",4
667,tt1355630,78274843.0,11000000.0,PG-13,Warner Bros.,15679190.0,"Drama,Fantasy,Music,Romance,Sci-Fi",4
668,tt2262227,99783556.0,50000000.0,PG,Twentieth Century Fox,17005218.0,"Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance",4
669,tt1826590,50445860.0,12500000.0,R,Screen Gems,25649011.0,"Comedy,Romance",4
670,tt2106361,161502194.0,50000000.0,PG-13,Warner Bros.,17346427.0,"Action,Adventure,Drama,Thriller",4
671,tt1742044,67647013.0,40000000.0,R,Warner Bros.,13319371.0,"Biography,Drama,Music",4
672,tt1872194,84419388.0,50000000.0,R,Warner Bros.,13116226.0,"Crime,Drama",4
673,tt1086772,127994610.0,40000000.0,PG-13,Warner Bros.,14284031.0,"Comedy,Romance",4
